plan_id,statement_id,statement,gold_elot,gold_lowered,translation_elot,translation_lowered,elot_correct,elot_equiv
1_1,1,The player believes the blue key is in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes))",TRUE,TRUE
1_1,2,The player is sure there must be a blue key in box 3.,"certain(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(must))","certain(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(certain)), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))",TRUE,TRUE
1_1,3,"The player believes that box 1 or 2 contain the blue key, but leans more towards box 1.","believes(player, formula(or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), more(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))) ","and(>=(prob_of(player, or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), threshold(believes)), >(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))","believes(player, formula(or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))), more(likely, exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))) ","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2)))), threshold(believes)), >=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), prob_of(player, exists(and(key(K), iscolor(K, blue)), or(inside(K",TRUE,TRUE
1_1,4,The player thinks that box 1 is empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))","believes(player, formula(empty(box1)))","and(<(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)))",TRUE,TRUE
1_1,5,The player believes that box 1 contains the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes))",TRUE,TRUE
1_2,1,The player is sure there must be a blue key in box 3.,"certain(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(must))","certain(player, must(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(certain)), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))",TRUE,TRUE
1_2,2,The player knows that boxes 1 and 2 did not have the blue key.,"knows_that(player, formula(and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))) ","and(>=(prob_of(player, and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))), threshold(believes)), and(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), not(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))","knows_that(player, formula(not(and(key(K), iscolor(K, blue), inside(K, box1), inside(K, box2)))))","not(exists(and(key(K), iscolor(K, blue)), or(inside(K, box1), inside(K, box2))))",FALSE,FALSE
1_2,3,The player believes that the blue key is in box number 3.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes))",TRUE,TRUE
1_2,4,The player believes that box 3 is more likely to contain a red key than box 1.,"believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box3)), exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box3)), exists(and(key(K), iscolor(K, red)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))))",TRUE,TRUE
1_2,5,The player believes that box 3 is empty.,"believes(player, formula(empty(box3))) ",">=(prob_of(player, empty(box3)), threshold(believes))","believes(player, formula(empty(box3)))","and(>=(prob_of(player, empty(box3)), threshold(believes)), empty(box3))",TRUE,TRUE
1_3,1,The player thinks that box 1 is empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))","believes(player, formula(empty(box1)))","and(<(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)))",TRUE,TRUE
1_3,2,The player is uncertain about the contents of box 3.,"uncertain_about(player, color(C), exists(and(key(K), inside(K, box3)), iscolor(K, C))) ","forall(color(C), <(prob_of(player, exists(and(key(K), inside(K, box3)), iscolor(K, C))), threshold(uncertain)))","uncertain_about(player, exists(key(K), iscolor(K, blue)), inside(K, box3))","forall(color(C), <(prob_of(player, exists(and(key(K), inside(K, box3)), iscolor(K, C))), threshold(uncertain)))",FALSE,FALSE
1_3,3,The player believes that box 2 is empty.,"believes(player, formula(empty(box2))) ",">=(prob_of(player, empty(box2)), threshold(believes))","believes(player, formula(empty(box2)))","and(>=(prob_of(player, empty(box2)), threshold(believes)), empty(box2))",TRUE,TRUE
1_3,4,"The player believes that if box 1 does not have a blue key, then box 3 has a blue key.","believes(player, formula(imply(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), exists(and(key(K), iscolor(K, blue)), inside(K, box3))))) ",">=(prob_of(player, imply(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))), threshold(believes))","believes(player, formula(imply(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))))","imply(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))",TRUE,TRUE
1_3,5,The player believes there may be a key in box 1.,"believes(player, may(exists(key(K), inside(K, box1)))) ",">=(prob_of(player, exists(key(K), inside(K, box1))), threshold(may))","believes(player, may(exists(key(K), inside(K, box1))))",">=(prob_of(player, exists(key(K), inside(K, box1))), threshold(believes))",TRUE,TRUE
2_1,1,The player knows that box 1 does not have the blue key.,"knows_that(player, formula(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))) ","and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))), threshold(believes)), not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))","knows_that(player, formula(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))))",">=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))), threshold(believes))",TRUE,TRUE
2_1,2,The player believes if the red key is not in box 2 then it must be in box 3.,"believes(player, formula(imply(not(exists(and(key(K), iscolor(K, red)), inside(K, box2))), exists(and(key(K), iscolor(K, red)), inside(K, box3))))) ",">=(prob_of(player, imply(not(exists(and(key(K), iscolor(K, red)), inside(K, box2))), exists(and(key(K), iscolor(K, red)), inside(K, box3)))), threshold(believes))","believes(player, formula(imply(not(exists(and(key(K), iscolor(K, red)), inside(K, box2))), exists(and(key(K), iscolor(K, red)), inside(K, box3)))))",">=(prob_of(player, imply(not(exists(and(key(K), iscolor(K, red)), inside(K, box2))), exists(and(key(K), iscolor(K, red)), inside(K, box3)))), threshold(believes))",TRUE,TRUE
2_1,3,The player believes that box 2 has a key.,"believes(player, formula(exists(key(K), inside(K, box2)))) ",">=(prob_of(player, exists(key(K), inside(K, box2))), threshold(believes))","believes(player, formula(exists(key(K), inside(K, box2))))","and(>=(prob_of(player, exists(key(K), inside(K, box2))), threshold(believes)), exists(key(K), inside(K, box2)))",TRUE,TRUE
2_1,4,The player believes box 2 might hold a red key.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(might))",TRUE,TRUE
2_1,5,The player knows that box 2 is empty.,"knows_that(player, formula(empty(box2))) ","and(>=(prob_of(player, empty(box2)), threshold(believes)), empty(box2))","knows_that(player, formula(empty(box2)))","and(>=(prob_of(player, empty(box2)), threshold(believes)), empty(box2))",TRUE,TRUE
2_2,1,The player thinks that box 1 is empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))","believes(player, formula(empty(box1)))","and(<(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)))",TRUE,TRUE
2_2,2,The player believes that box 3 is empty.,"believes(player, formula(empty(box3))) ",">=(prob_of(player, empty(box3)), threshold(believes))","believes(player, formula(empty(box3)))","and(>=(prob_of(player, empty(box3)), threshold(believes)), empty(box3))",TRUE,TRUE
2_2,3,The player thinks that box 1 is empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))","believes(player, formula(empty(box1)))","and(<(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)))",TRUE,TRUE
2_2,4,The player believes that box 3 may contain a red key.,"believes(player, may(exists(and(key(K), iscolor(K, red)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(may))","believes(player, may(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","and(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might)), and(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might)), <(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box3",TRUE,TRUE
2_2,5,The player believes that box 3 is more likely to contain a red key than box 1.,"believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box3)), exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))))","believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box3)), exists(and(key(K), iscolor(K, red)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))))",TRUE,TRUE
2_3,1,The player believes that box 2 may contain the red key.,"believes(player, may(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(may))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(likely)), and(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(can)), <(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold",FALSE,TRUE
2_3,2,The player believes that box 2 is empty.,"believes(player, formula(empty(box2))) ",">=(prob_of(player, empty(box2)), threshold(believes))","believes(player, formula(empty(box2)))","and(>=(prob_of(player, empty(box2)), threshold(believes)), empty(box2))",TRUE,TRUE
2_3,3,The player thinks that boxes 2 and 3 might or might not contain a red key.,"believes(player, might(exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3))))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3)))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3)))))","or(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(might)), not(exists(and(key(K), iscolor(K, red)), inside(K, box2))), or(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might)), not(exists(and(key",TRUE,TRUE
2_3,4,The player believes the red key is in box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(may))",TRUE,TRUE
2_3,5,The player thinks that there's more likely to be a red key in box 1 or 3 than box 2.,"believes(player, more(likely, exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box3))), exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">(prob_of(player, exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box3)))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))))","believes(player, more(likely, exists(and(key(K), iscolor(K, red)), or(inside(K, box1), inside(K, box3))), exists(and(key(K), iscolor(K, red)), inside(K, box2))))","or(>(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2)))), >(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), prob_of(player, exists(and(key(K), iscolor(K,",TRUE,TRUE
3_1,1,The player believes box 2 is least likely to hold the blue key.,"believes(player, least(likely, box2, B, box(B), exists(and(key(K), iscolor(K, blue)), inside(K, B)))) ","<=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box2))), minimum(box(B), prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, B)))))","believes(player, least(likely, box2, B, box(B), exists(and(key(K), iscolor(K, blue)), inside(K, B))))","<(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box2))), minimum(box(B), prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, B)))))",TRUE,TRUE
3_1,2,The player believes that box 3 holds the blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes)), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))",TRUE,TRUE
3_1,3,The player knows box 3 contains a blue key.,"knows_that(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))) ","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes)), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))","knows_that(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box3))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes)), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))",TRUE,TRUE
3_1,4,The player thinks that box 1 is empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))","believes(player, formula(empty(box1)))","and(<(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)))",TRUE,TRUE
3_1,5,The player knows that box 2 is empty.,"knows_that(player, formula(empty(box2))) ","and(>=(prob_of(player, empty(box2)), threshold(believes)), empty(box2))","knows_that(player, formula(empty(box2)))","and(>=(prob_of(player, empty(box2)), threshold(believes)), empty(box2))",TRUE,TRUE
3_2,1,The player believes that box 2 may contain the red key.,"believes(player, may(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(may))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(likely)), and(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(can)), <(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold",FALSE,TRUE
3_2,2,The player believes the red key is in box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(may))",TRUE,TRUE
3_2,3,The player does not know which box contains a red key.,"not_knows_about(player, box(B), exists(and(key(K), iscolor(K, red)), inside(K, B))) ","forall(box(B), or(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, B))), threshold(believes)), not(exists(and(key(K), iscolor(K, red)), inside(K, B)))))","not_knows_about(player, box(B), exists(and(key(K), iscolor(K, red)), inside(K, B)))","and(<(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box2))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box3))), threshold(uncertain)), not(or(inside(K, box1), inside(K, box2), inside",TRUE,TRUE
3_2,4,The player believes that box 3 may contain a red key.,"believes(player, may(exists(and(key(K), iscolor(K, red)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(may))","believes(player, may(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","and(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might)), and(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might)), <(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box3",TRUE,TRUE
3_2,5,The player believes that box 1 might have a red key.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(might))",TRUE,TRUE
3_3,1,The player knows that box 1 does not have the blue key.,"knows_that(player, formula(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))) ","and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))), threshold(believes)), not(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))","knows_that(player, formula(not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))))",">=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))), threshold(believes))",TRUE,TRUE
3_3,2,The player thinks that box 1 is empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))","believes(player, formula(empty(box1)))","and(<(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)), <(prob_of(player, exists(key(K), inside(K, box1))), threshold(uncertain)))",TRUE,TRUE
3_3,3,The player is unsure whether the blue key is in box 3 or 1.,"uncertain_if(player, and(key(K), iscolor(K, blue)), inside(K, box3), inside(K, box1)) ","exists(and(key(K), iscolor(K, blue)), and(<(prob_of(player, inside(K, box3)), threshold(uncertain)), <(prob_of(player, inside(K, box1)), threshold(uncertain))))","uncertain_if(player, and(key(K), iscolor(K, blue)), inside(K, box3), inside(K, box1))","and(not(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box3))), threshold(believes))), not(>=(prob_of(player, not(exists(and(key(K), iscolor(K, blue)), inside(K, box3)))), threshold(believes))), not(>=(prob_of(player, exists(and(key(K), iscolor(K,",TRUE,TRUE
3_3,4,The player believes that box 3 will either be empty or have a blue key.,"believes(player, formula(or(empty(box3), exists(and(key(K), iscolor(K, blue)), inside(K, box3))))) ",">=(prob_of(player, or(empty(box3), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))), threshold(believes))","believes(player, formula(or(empty(box3), exists(and(key(K), iscolor(K, blue)), inside(K, box3)))))","and(exists(and(key(K), iscolor(K, blue)), inside(K, box3)), exists(box(B), empty(B)))",TRUE,TRUE
3_3,5,The player believes the red key is in box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(may))",TRUE,TRUE
4_1,1,The player believes box 1 is more likely to contain a red key than box 2.,"believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box1)), exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))))","believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box1)), exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))))",TRUE,TRUE
4_1,2,The player believes that box 3 may contain a red key.,"believes(player, may(exists(and(key(K), iscolor(K, red)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(may))","believes(player, may(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","and(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might)), and(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might)), <(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box3",TRUE,TRUE
